val_loss,val/epoch_ce,epoch,step
0.009806297719478607,0.009806105867028236,4,99
0.0021507753990590572,0.0021507451310753822,9,199
0.0008500796393491328,0.0008501968113705516,14,299
0.00046272107283584774,0.0004629194154404104,19,399
0.0002962019934784621,0.00029622827423736453,24,499
0.00020911061437800527,0.00020914692140650004,29,599
0.00015794461069162935,0.00015797199739608914,34,699
0.00012510802480392158,0.00012515381968114525,39,799
0.00010281213326379657,0.00010283685696776956,44,899
8.686952060088515e-05,8.689497917657718e-05,49,999
7.501055370084941e-05,7.50426625018008e-05,54,1099
6.589967233594507e-05,6.595278682652861e-05,59,1199
5.878115916857496e-05,5.881516699446365e-05,64,1299
5.307445098878816e-05,5.309827974997461e-05,69,1399
4.842814814765006e-05,4.8460631660418585e-05,74,1499
4.460534910322167e-05,4.461547723622061e-05,79,1599
4.13786583521869e-05,4.138088843319565e-05,84,1699
3.867662962875329e-05,3.867462510243058e-05,89,1799
3.634827953646891e-05,3.636138717411086e-05,94,1899
3.4338612749706954e-05,3.43333013006486e-05,99,1999
